faculty_id,full_name,department,diem_trung_binh,so_khao_sat
GV103,Hoang Van E,Khoa Kinh Tế,5.0,1
GV112,Hoang Van E,Bộ Môn Toán,4.5,6
GV100,Pham Thi D,Khoa Kinh Tế,4.33,3
GV113,Nguyen Van A,Bộ Môn Toán,4.25,3
GV101,Hoang Van E,Khoa Kinh Tế,4.15,5
GV111,Le Van C,Khoa CNTT,4.15,10
GV119,Le Van C,Khoa Kinh Tế,4.12,4
GV107,Le Van C,Khoa Kinh Tế,4.11,7
GV114,Tran Thi B,Bộ Môn Toán,4.11,7
GV122,Pham Thi D,Khoa Kinh Tế,4.08,6
GV123,Le Van C,Bộ Môn Toán,4.06,9
GV105,Pham Thi D,Khoa CNTT,4.04,6
GV121,Hoang Van E,Khoa CNTT,4.0,3
GV106,Nguyen Van A,Bộ Môn Toán,4.0,2
GV102,Le Van C,Bộ Môn Toán,4.0,3
GV108,Hoang Van E,Khoa CNTT,4.0,5
GV120,Tran Thi B,Khoa CNTT,4.0,5
GV110,Nguyen Van A,Bộ Môn Toán,3.96,6
GV104,Pham Thi D,Khoa CNTT,3.92,6
GV117,Tran Thi B,Khoa Kinh Tế,3.91,8
GV118,Pham Thi D,Khoa CNTT,3.88,8
GV115,Nguyen Van A,Khoa CNTT,3.88,2
GV124,Hoang Van E,Khoa Kinh Tế,3.88,4
GV116,Le Van C,Khoa CNTT,3.5,1
