faculty_id,full_name,department
GV100,Pham  Thi D,Khoa Kinh  Te
gv101,Hoang   Van E,Khoa Kinh Tế
GV102,Le   Van  C,Bộ Môn Toán
GV103,Hoang   Van E,Khoa Kinh  Te
gv104,Pham  Thi D,Khoa Cntt
GV105,Pham  Thi D,Khoa Cong Nghe Thong Tin
GV106,Nguyen Van A,Bo Mon Toan
GV107,Le   Van  C,Khoa Kinh Tế
GV108,Hoang   Van E,Khoa Cntt
GV109,Pham  Thi D,Khoa Kinh Te
GV110,Nguyen Van A,Bo Mon Toan
GV111,Le   Van  C,Khoa Cntt
GV112,Hoang   Van E,Bo Mon Toan
GV113,Nguyen Van A,Bo Mon Toan
GV114,Tran  Thi  B,Bo Mon Toan
GV115,Nguyen Van A,Khoa Cntt
GV116,Le   Van  C,Khoa Cong Nghe Thong Tin
GV117,Tran  Thi  B,Khoa Kinh  Te
GV118,Pham  Thi D,Khoa Cntt
gv119,Le   Van  C,Khoa Kinh Te
GV120,Tran  Thi  B,Khoa Cong Nghe Thong Tin
GV121,Hoang   Van E,Khoa Cntt
GV122,Pham  Thi D,Khoa Kinh Te
gv123,Le   Van  C,Bo Mon Toan
GV124,Hoang   Van E,Khoa Kinh Tế
