faculty_id,full_name,department
GV100 ,pham  thi d,khoa kinh  te
gv101,Hoang   van e,Khoa Kinh tế
GV102 ,LE   VAN  C,Bộ môn Toán
GV103,Hoang   van e,khoa kinh  te
gv104,pham  thi d,Khoa CNTT
 GV105,pham  thi d,KHOA CONG NGHE THONG TIN
GV106,Nguyen van A,bo mon toan
GV107 ,LE   VAN  C,Khoa Kinh tế
 GV108,Hoang   van e,khoa cntt
GV109,pham  thi d,Khoa Kinh te
 GV110,Nguyen van A,Bo mon Toan
 GV111,LE   VAN  C,khoa cntt
GV112 ,Hoang   van e,bo mon toan
 GV113,Nguyen van A,Bo mon Toan
GV114,  Tran  Thi  B,bo mon toan
 GV115,Nguyen van A,khoa cntt
 GV116,LE   VAN  C,KHOA CONG NGHE THONG TIN
 GV117,  Tran  Thi  B,khoa kinh  te
GV118,pham  thi d,khoa cntt
gv119,LE   VAN  C,Khoa Kinh te
 GV120,  Tran  Thi  B,KHOA CONG NGHE THONG TIN
GV121,Hoang   van e,Khoa CNTT
 GV122,pham  thi d,Khoa Kinh te
gv123,LE   VAN  C,Bo mon Toan
GV124,Hoang   van e,Khoa Kinh tế
